day,zipcat_balance,weth_balance
2026-08-01 00:00:00.000 UTC,3.9999999999999994e+11,1.038961038961039
2026-08-02 00:00:00.000 UTC,1.1093477187882733e+11,3.7927089809678973
2026-08-03 00:00:00.000 UTC,9.641185606176302e+10,4.369967863130295
2026-08-04 00:00:00.000 UTC,8.976074465955154e+10,4.6949107905322975
2026-08-05 00:00:00.000 UTC,9.337941084985341e+10,4.5157376667821065
2026-08-06 00:00:00.000 UTC,9.452240352848703e+10,4.4616203955460465
2026-08-07 00:00:00.000 UTC,9.290565060812149e+10,4.539516481903111
2026-08-08 00:00:00.000 UTC,7.471346266980682e+10,5.651082112024474
2026-08-09 00:00:00.000 UTC,7.929970551577446e+10,5.326447280160124
2026-08-10 00:00:00.000 UTC,8.099502486582312e+10,5.223722437462453
2026-08-11 00:00:00.000 UTC,7.688475504843687e+10,5.503842200892673
2026-08-12 00:00:00.000 UTC,8.947848684093271e+10,4.731902204956928
2026-08-13 00:00:00.000 UTC,8.1256231556115e+10,5.212698123027215
2026-08-14 00:00:00.000 UTC,7.845973999492163e+10,5.3990596975404275
2026-08-15 00:00:00.000 UTC,7.09757261480741e+10,5.970281128634887
2026-08-16 00:00:00.000 UTC,6.7167865784612976e+10,6.310668482075721
2026-08-17 00:00:00.000 UTC,4.335970657420345e+10,9.825534256745946
2026-08-18 00:00:00.000 UTC,3.9167529127645515e+10,10.886333808370022
2026-08-19 00:00:00.000 UTC,3.772260927036237e+10,11.307855559862228
2026-08-20 00:00:00.000 UTC,3.741539864845976e+10,11.404681249305167
2026-08-21 00:00:00.000 UTC,3.4189570208702347e+10,12.512955472048644
2026-08-22 00:00:00.000 UTC,2.2019533481757187e+10,19.597290920769915
2026-08-23 00:00:00.000 UTC,2.5442020477718346e+10,16.99188440454373
2026-08-24 00:00:00.000 UTC,2.709609868533508e+10,15.994817964658612
2026-08-25 00:00:00.000 UTC,2.1087399325920647e+10,20.620243906965207
2026-08-26 00:00:00.000 UTC,2.2117902404389824e+10,19.664635414986044
2026-08-27 00:00:00.000 UTC,2.1795638842840473e+10,19.963457836478256
2026-08-28 00:00:00.000 UTC,2.2546670454429283e+10,19.310191923666228
2026-08-29 00:00:00.000 UTC,2.073959244477066e+10,21.002837517186066
2026-08-30 00:00:00.000 UTC,2.1940830631755722e+10,19.86050837384172
2026-08-31 00:00:00.000 UTC,2.2368034862519764e+10,19.48518552549793
2026-09-01 00:00:00.000 UTC,2.319743024783875e+10,18.79120697943248
2026-09-02 00:00:00.000 UTC,2.3212687647754826e+10,18.786794654598545
2026-09-03 00:00:00.000 UTC,2.328298935126372e+10,18.73306300407743
2026-09-04 00:00:00.000 UTC,2.358913671383301e+10,18.49096427663372
2026-09-05 00:00:00.000 UTC,2.404774151509536e+10,18.139576358776285
2026-09-06 00:00:00.000 UTC,2.2859540819889027e+10,19.087858737551617
2026-09-07 00:00:00.000 UTC,2.413002140751885e+10,18.085946345784368
2026-09-08 00:00:00.000 UTC,2.4886584451755917e+10,17.53874990501917
2026-09-09 00:00:00.000 UTC,2.6162087336755363e+10,16.686558646200876
2026-09-10 00:00:00.000 UTC,3.2812269761572372e+10,13.328542292487558
2026-09-11 00:00:00.000 UTC,3.097715366555223e+10,14.12118710780885
2026-09-12 00:00:00.000 UTC,3.1807407664653915e+10,13.755954230039974
2026-09-13 00:00:00.000 UTC,2.968217374322423e+10,14.744715285494378
2026-09-14 00:00:00.000 UTC,2.955989037890259e+10,14.80639028277097
2026-09-15 00:00:00.000 UTC,3.0174392867793316e+10,14.506085582841061
2026-09-16 00:00:00.000 UTC,3.0595486130790836e+10,14.30717876085275
2026-09-17 00:00:00.000 UTC,3.068778802712182e+10,14.264646682044154
2026-09-18 00:00:00.000 UTC,2.8950099024347786e+10,15.123817296335934
2026-09-19 00:00:00.000 UTC,3.16217238322166e+10,13.853097272843769
2026-09-20 00:00:00.000 UTC,3.1408840657987316e+10,13.947376975397418
2026-09-21 00:00:00.000 UTC,3.296119478629772e+10,13.292598050173178
2026-09-22 00:00:00.000 UTC,3.296119478629772e+10,13.292598050173178
